School,2009,2010,2011,2012,2013,2014,2015,AVG RANK,City,State
Howard,102,96,104,111,120,142,145,117.1428571,Washington,DC
Arizona,96,102,120,124,120,119,121,114.5714286,Tucson,Arizona
Lowa St,89,88,94,94,101,101,106,96.14285714,Ames,Iowa
Kansas,89,96,104,101,106,101,106,100.4285714,Lawrence,Kansas
Pacific,102,115,99,101,106,112,116,107.2857143,Forest Grove,Oregon
Washington St,116,106,111,115,125,128,138,119.8571429,Pullman,Washington
Illinois Tech,102,106,111,111,113,109,116,109.7142857,Chicago,Illinois
St. Louis,80,84,86,88,92,101,99,90,St. Louis,Missouri
UC Riverside,89,96,94,97,101,112,113,100.2857143,Riverside,California
Ohio Univ,116,115,124,124,131,135,129,124.8571429,Athens,Ohio
