SCHOOL,2008,2009,2010,2011,2012,2013,2014,2015,AVG RANK,CHG 08 VS 15
Princeton,1,1,1,1,1,1,1,1,1,0
Harvard,2,1,1,1,1,1,2,2,1.375,0
Yale,3,3,3,3,3,3,3,3,3,0
Stanford,4,4,4,5,5,6,5,4,4.625,0
Columbia,9,8,8,4,4,4,4,4,5.625,5
MIT,7,4,4,7,5,6,7,7,5.875,0
Penn,5,6,4,5,5,8,7,8,6,-3
Chicago,9,8,8,9,5,4,5,4,6.5,5
Caltech,5,6,4,7,5,10,10,10,7.125,-5
Duke,8,8,10,9,10,8,7,8,8.5,0
Dartmouth,11,11,11,9,11,10,10,11,10.5,0
Northwestern,14,12,12,12,12,12,12,13,12.375,1
Washington Univ,12,12,12,13,14,14,14,14,13.125,-2
Johns Hopkins,14,15,14,13,13,13,12,12,13.25,2
Cornell,12,14,15,15,15,15,16,15,14.625,-3
Brown,14,16,16,15,15,15,14,16,15.125,-2
Vanderbilt,19,18,17,17,17,17,17,16,17.25,3
Rice,17,17,17,17,17,17,18,19,17.375,-2
Notre Dame,19,18,20,19,19,17,18,16,18.25,3
Emory,17,18,17,20,20,20,20,21,19.125,-4
UC Berkeley,21,21,21,22,21,21,20,20,20.875,1
Georgetown,23,23,23,21,22,21,20,21,21.75,2
Carnegie Mellon,22,22,22,23,23,23,23,25,22.875,-3
Virginia,23,23,24,25,25,24,23,23,23.75,0
UCLA,25,25,24,25,25,24,23,23,24.25,2
USC,27,27,26,23,23,24,23,25,24.75,2
Wake Forest,30,28,28,25,25,27,23,27,26.625,3
Michigan,25,26,27,29,28,29,28,29,27.625,-4
Tufts,28,28,28,28,29,28,28,27,28,1
North Carolina,28,30,28,30,29,30,30,30,29.375,-2
Boston College,35,34,34,31,31,31,31,31,32.25,4
Brandeis,31,31,31,34,31,33,32,35,32.25,-4
William & Mary,33,32,33,31,33,33,32,33,32.5,0
NYU,34,33,32,33,33,32,32,32,32.625,2
Rochester,35,35,35,37,35,33,32,33,34.375,2
Georgia Tech,35,35,35,35,36,36,36,36,35.5,-1
UC San Diego,38,35,35,35,37,38,39,37,36.75,1
Lehigh,31,35,35,37,38,38,41,40,36.875,-9
Case Western,41,41,41,41,38,37,37,38,39.25,3
UC Davis,42,44,42,39,38,38,39,38,40,4
UW Madison,38,35,39,45,42,41,41,47,41,-9
UC Santa Barbara,44,44,42,39,42,41,41,40,41.625,4
Illinois,38,40,39,47,45,46,41,42,42.25,-4
RPI,44,41,42,41,50,41,41,42,42.75,2
Washington,42,41,42,41,42,46,52,48,44.25,-6
UC Irvine,44,44,46,41,45,44,49,42,44.375,2
Penn State,48,47,47,47,45,46,37,48,45.625,0
U of Miami,52,51,50,47,38,44,47,48,47.125,4
UT Austin,44,47,47,45,45,46,52,53,47.375,-9
Yeshiva,52,50,52,50,45,46,47,48,48.75,4
Florida,49,49,47,53,58,54,49,48,50.875,1
Tulane,50,51,50,51,50,51,52,54,51.125,-4
Boston Univ,57,60,56,56,53,51,41,42,52,15
George Washington,54,53,53,51,50,51,52,54,52.25,0
Ohio St,57,56,53,56,55,56,52,54,54.875,3
Pepperdine,54,56,58,53,55,54,57,54,55.125,0
Maryland,54,53,53,56,55,58,62,62,56.625,-8
Syracuse,50,53,58,55,62,58,62,58,57,-8
Fordham,67,61,61,56,53,58,57,58,58.875,9
Pitt,59,58,56,64,58,58,62,62,59.625,-3
Georgia,59,58,58,56,62,63,60,62,59.75,-3
SMU,67,66,68,56,62,58,60,58,61.875,9
Connecticut,64,66,66,69,58,63,57,58,62.625,6
Purdue,64,66,61,56,62,65,68,62,63,2
Texas A&M,62,64,61,63,58,65,69,68,63.75,-6
Clemson,67,61,61,64,68,68,62,62,64.125,5
WPI,62,71,68,64,62,65,62,68,65.25,-6
Rutgers,59,64,66,64,68,68,69,70,66,-11
Minnesota,71,61,61,64,68,68,69,71,66.625,0
Northeastern,96,96,80,69,62,56,49,42,68.75,54
Iowa,64,66,71,72,71,72,73,71,70,-7
Virginia Tech,71,71,71,69,71,72,69,71,70.625,0
Delaware,71,71,68,75,75,75,75,76,73.25,-5
Michigan St,71,71,71,79,71,72,73,85,74.125,-14
Brigham Young,79,113,71,75,71,68,62,62,75.125,17
Indiana,75,71,71,75,75,83,75,76,75.125,-1
Baylor,75,76,80,79,75,77,75,71,76,4
Miami Oh,67,66,77,79,90,89,75,76,77.375,-9
Marquette,82,77,84,75,82,83,75,76,79.25,6
Colorado School of Mines,75,80,77,72,75,77,91,88,79.375,-13
American,85,83,84,79,82,77,75,71,79.5,14
UC Santa Cruz,79,96,71,72,75,77,86,85,80.125,-6
Stevens Inst Tech,75,83,84,86,88,75,82,76,81.125,-1
Clark,91,80,88,86,94,83,75,76,84.125,15
Alabama,91,83,96,79,75,77,86,88,84.375,3
Colorado,79,77,77,86,94,97,86,88,85.5,-9
Binghamton,82,77,80,86,88,89,97,88,85.875,-6
Tulsa,91,83,88,93,75,83,86,88,85.875,3
Denver,85,89,84,86,82,83,91,88,86,-3
Vermont,96,89,88,94,82,92,82,85,88.5,11
St. Louis,82,80,84,86,88,92,101,99,89,-17
Auburn,96,96,88,85,82,89,91,103,91.25,-7
Drexel,108,89,88,86,88,83,97,95,91.75,13
Iowa St,85,89,88,94,94,101,101,106,94.75,-21
Stony Brook,96,96,96,99,111,92,82,88,95,8
Massachusetts Amherst,96,102,106,99,94,97,91,76,95.125,20
Missouri,91,96,102,94,90,97,97,99,95.75,-8
NC State,85,83,88,111,101,106,101,95,96.25,-10
TCU,108,113,110,99,97,92,82,76,97.125,32
Nebraska,91,89,96,104,101,101,101,99,97.75,-8
Kansas,85,89,96,104,101,106,101,106,98.5,-21
San Diego,107,102,110,94,97,92,91,95,98.5,12
UC Riverside,96,89,96,94,97,101,112,113,99.75,-17
Florida St,112,102,102,104,101,97,91,95,100.5,17
Tennessee,96,108,106,104,101,101,101,106,102.875,-10
New Hampshire,108,113,110,104,101,106,97,99,104.75,9
Oklahoma,108,108,102,111,101,101,101,106,104.75,2
Pacific,96,102,115,99,101,106,112,116,105.875,-20
Dayton,112,108,110,99,101,115,112,103,107.5,9
Illinois Tech,96,102,106,111,111,113,109,116,108,-20
Oregon,112,108,115,111,101,115,109,106,109.625,6
South Carolina,112,108,110,111,111,115,112,113,111.5,-1
Loyola Chicago,112,116,119,117,119,106,101,106,112,6
Arizona,96,96,102,120,124,120,119,121,112.25,-25
Univ at Buffalo,118,121,121,120,111,106,109,103,113.625,15
Howard,96,102,96,104,111,120,142,145,114.5,-49
Catholic,112,116,121,120,119,120,121,116,118.125,-4
Michigan Tech,124,121,121,117,111,120,117,116,118.375,8
Washington St,118,116,106,111,115,125,128,138,119.625,-20
Clarkson,124,121,119,124,119,115,121,121,120.5,3
Ohio Univ,112,116,115,124,124,131,135,129,123.25,-17
Kentucky,118,116,128,129,124,125,119,129,123.5,-11
Colorado St,124,125,128,124,128,134,121,121,125.625,3
Arkansas,124,125,128,132,132,134,128,135,129.75,-11
Arizona St,124,121,121,143,132,139,142,129,131.375,-5
